room_type,accommodates,neighbourhood_cleansed,bedrooms,beds,price
Entire home/apt,6.0,Copacabana,1.0,5.0,971.0
Private room,2.0,Jacarepaguá,1.0,1.0,180.0
Entire home/apt,6.0,Ipanema,3.0,3.0,813.0
Entire home/apt,8.0,Centro,2.0,5.0,291.0
Entire home/apt,5.0,Lagoa,3.0,3.0,1000.0
Entire home/apt,6.0,Ipanema,3.0,4.0,2412.0
Entire home/apt,4.0,Copacabana,1.0,2.0,379.0
Private room,2.0,Copacabana,1.0,1.0,160.0
Private room,1.0,Ipanema,1.0,1.0,157.0
Entire home/apt,6.0,Ipanema,3.0,7.0,3325.0
Private room,2.0,Botafogo,1.0,1.0,136.0
Entire home/apt,4.0,Copacabana,2.0,2.0,700.0
Entire home/apt,4.0,Leme,2.0,2.0,504.0
Private room,2.0,Recreio dos Bandeirantes,1.0,1.0,264.0
Entire home/apt,4.0,Ipanema,1.0,2.0,1450.0
Entire home/apt,3.0,Copacabana,1.0,1.0,782.0
Entire home/apt,2.0,Leblon,1.0,1.0,426.0
Entire home/apt,4.0,Ipanema,2.0,4.0,600.0
Entire home/apt,5.0,Copacabana,2.0,4.0,479.0
Entire home/apt,5.0,Barra da Tijuca,3.0,4.0,1036.0
Entire home/apt,4.0,Barra da Tijuca,2.0,3.0,337.0
Private room,2.0,Leblon,1.0,1.0,1796.0
Entire home/apt,6.0,Ipanema,3.0,8.0,1800.0
Entire home/apt,4.0,Copacabana,1.0,2.0,411.0
Private room,2.0,Santa Teresa,1.0,1.0,790.0
Entire home/apt,7.0,Copacabana,2.0,1.0,1100.0
Private room,2.0,Botafogo,1.0,1.0,75.0
Private room,1.0,Barra da Tijuca,1.0,1.0,144.0
Entire home/apt,4.0,Ipanema,2.0,3.0,443.0
Entire home/apt,2.0,Copacabana,1.0,1.0,341.0
Entire home/apt,4.0,Copacabana,1.0,1.0,1000.0
Private room,2.0,Botafogo,1.0,1.0,518.0
Entire home/apt,8.0,Barra da Tijuca,4.0,4.0,1270.0
Entire home/apt,4.0,Ipanema,2.0,3.0,560.0
Entire home/apt,6.0,Barra da Tijuca,3.0,3.0,700.0
Entire home/apt,5.0,Copacabana,2.0,3.0,3086.0
Entire home/apt,6.0,Recreio dos Bandeirantes,2.0,3.0,400.0
Entire home/apt,4.0,Botafogo,1.0,3.0,280.0
Entire home/apt,6.0,Copacabana,3.0,4.0,2846.0
Entire home/apt,8.0,Copacabana,2.0,3.0,930.0
Entire home/apt,7.0,Copacabana,3.0,5.0,657.0
Entire home/apt,4.0,Copacabana,1.0,1.0,371.0
Private room,2.0,Recreio dos Bandeirantes,1.0,1.0,60.0
Entire home/apt,2.0,Copacabana,1.0,1.0,454.0
Entire home/apt,4.0,Copacabana,1.0,3.0,253.0
Entire home/apt,4.0,Barra da Tijuca,1.0,2.0,943.0
Entire home/apt,6.0,Recreio dos Bandeirantes,2.0,3.0,506.0
Entire home/apt,2.0,Centro,1.0,1.0,180.0
Entire home/apt,3.0,Copacabana,1.0,2.0,397.0
Entire home/apt,5.0,Botafogo,2.0,3.0,642.0
Entire home/apt,2.0,Recreio dos Bandeirantes,1.0,2.0,178.0
Entire home/apt,4.0,Botafogo,2.0,2.0,429.0
Entire home/apt,3.0,Copacabana,1.0,1.0,150.0
Private room,2.0,Urca,1.0,1.0,308.0
Entire home/apt,8.0,Copacabana,1.0,5.0,1000.0
Entire home/apt,3.0,Centro,1.0,2.0,280.0
Private room,3.0,Barra da Tijuca,1.0,2.0,177.0
Private room,4.0,Leme,1.0,3.0,58.0
Entire home/apt,4.0,Ipanema,2.0,2.0,1386.0
Entire home/apt,6.0,Botafogo,3.0,5.0,950.0
Entire home/apt,4.0,Barra da Tijuca,2.0,3.0,1243.0
Private room,4.0,São Conrado,2.0,2.0,300.0
Private room,2.0,Copacabana,1.0,1.0,521.0
Entire home/apt,8.0,Leblon,4.0,6.0,2800.0
Entire home/apt,4.0,Leme,2.0,3.0,471.0
